BATECH 165
BUS 120
DEV 108
BUS& 101
ENGL& 101
MATH 138
ECON& 201
PHIL 260 or CMST 250
ACCT 320
BUS 300
BUS 310
BUS 355
BUS 400
BUS 490
BUSIT 103
CMST 340
DEV 312
ECON& 202
ENGL 201 or ENGL 271 or ENGL 235
PHIL 360 or PHIL 375
MKTG 200 or MKTG 261 or MKTG 262
BATECH 268
BUS 450
DEV 300 or DEV 160
MKTG 461 or MKTG 462 or DATA 331 or DATA 333
BATECH 389 or IT 330
